[05-Jan-2023 18:44:25 +0530]: <0e2f566b> DB Error: [1] no such table: carddav_migrations (SQL Query: SELECT "filename" FROM carddav_migrations) in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?login=1&post_login=10892459166695)
[05-Jan-2023 18:45:02 +0530]: <0e2f566b> DB Error: [1] no such table: collected_addresses (SQL Query: SELECT * FROM "collected_addresses" WHERE "user_id" = '1' AND "type" = '1' AND ("email" LIKE 'elizatriper@organicwebsolution.com') ORDER BY "name" ASC, "email" ASC LIMIT 10) in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (GET /cpsess3134909493/3rdparty/roundcube/index.php?_task=addressbook&_action=photo&_email=elizatriper%40organicwebsolution.com&_error=1)
[05-Jan-2023 18:45:02 +0530]: <0e2f566b> DB Error: [1] no such table: collected_addresses (SQL Query: SELECT * FROM "collected_addresses" WHERE "user_id" = '1' AND "type" = '2' AND ("email" LIKE 'elizatriper@organicwebsolution.com') ORDER BY "name" ASC, "email" ASC LIMIT 10) in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (GET /cpsess3134909493/3rdparty/roundcube/index.php?_task=addressbook&_action=photo&_email=elizatriper%40organicwebsolution.com&_error=1)
[05-Jan-2023 18:45:29 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:46:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:47:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:48:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:49:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:50:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:51:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:52:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:53:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:54:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:55:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:56:30 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:57:32 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:58:33 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 18:59:34 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:00:35 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:01:36 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
